datasetName,parentEventID,eventID,samplingProtocol,samplingSizeValue,samplingSizeUnit,eventDate,eventTime,year,month,day,habitat,eventRemarks,country,countryCode,locality,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,geodeticDatum,strata
MBON-P2P-biodiversity-ARG,ARG_PMADRY_PESTE_RS_20191115,ARG_PMADRY_PESTE_RS_20191115_HIGH,MBON-P2P_bestpractices-rockyshores,0.25,square meter,2019-11-15T00:00:00Z,07:15:00Z/09:15:00Z,2019,11,15,ROCKYSHORE,NA,ARGENTINA,ARG,PUERTO MADRYN,-42.78511,-64.95264,5,WGS84,HIGH
MBON-P2P-biodiversity-ARG,ARG_PMADRY_PESTE_RS_20191115,ARG_PMADRY_PESTE_RS_20191115_MID,MBON-P2P_bestpractices-rockyshores,0.25,square meter,2019-11-15T00:00:00Z,07:15:00Z/09:15:00Z,2019,11,15,ROCKYSHORE,NA,ARGENTINA,ARG,PUERTO MADRYN,-42.78511,-64.95264,5,WGS84,MID
MBON-P2P-biodiversity-ARG,ARG_PMADRY_PESTE_RS_20191115,ARG_PMADRY_PESTE_RS_20191115_LOW,MBON-P2P_bestpractices-rockyshores,0.25,square meter,2019-11-15T00:00:00Z,07:15:00Z/09:15:00Z,2019,11,15,ROCKYSHORE,NA,ARGENTINA,ARG,PUERTO MADRYN,-42.78511,-64.95264,5,WGS84,LOW
MBON-P2P-biodiversity-ARG,ARG_PMADRY_PCUEVA_RS_20191112,ARG_PMADRY_PCUEVA_RS_20191112_HIGH,MBON-P2P_bestpractices-rockyshores,0.25,square meter,2019-11-12T00:00:00Z,07:15:00Z/09:15:00Z,2019,11,12,ROCKYSHORE,NA,ARGENTINA,ARG,PUERTO MADRYN,-42.77986,-65.00171,5,WGS84,HIGH
MBON-P2P-biodiversity-ARG,ARG_PMADRY_PCUEVA_RS_20191112,ARG_PMADRY_PCUEVA_RS_20191112_MID,MBON-P2P_bestpractices-rockyshores,0.25,square meter,2019-11-12T00:00:00Z,07:15:00Z/09:15:00Z,2019,11,12,ROCKYSHORE,NA,ARGENTINA,ARG,PUERTO MADRYN,-42.77986,-65.00171,5,WGS84,MID
MBON-P2P-biodiversity-ARG,ARG_PMADRY_PCUEVA_RS_20191112,ARG_PMADRY_PCUEVA_RS_20191112_LOW,MBON-P2P_bestpractices-rockyshores,0.25,square meter,2019-11-12T00:00:00Z,07:15:00Z/09:15:00Z,2019,11,12,ROCKYSHORE,NA,ARGENTINA,ARG,PUERTO MADRYN,-42.77986,-65.00171,5,WGS84,LOW
MBON-P2P-biodiversity-ARG,ARG_PMADRY_PLOMA_RS_20191113,ARG_PMADRY_PLOMA_RS_20191113_HIGH,MBON-P2P_bestpractices-rockyshores,0.25,square meter,2019-11-13T00:00:00Z,07:15:00Z/09:15:00Z,2019,11,13,ROCKYSHORE,NA,ARGENTINA,ARG,PUERTO MADRYN,-42.8112,-64.9017,6,WGS84,HIGH
MBON-P2P-biodiversity-ARG,ARG_PMADRY_PLOMA_RS_20191113,ARG_PMADRY_PLOMA_RS_20191113_MID,MBON-P2P_bestpractices-rockyshores,0.25,square meter,2019-11-13T00:00:00Z,07:15:00Z/09:15:00Z,2019,11,13,ROCKYSHORE,NA,ARGENTINA,ARG,PUERTO MADRYN,-42.8112,-64.9017,7,WGS84,MID
MBON-P2P-biodiversity-ARG,ARG_PMADRY_PLOMA_RS_20191113,ARG_PMADRY_PLOMA_RS_20191113_LOW,MBON-P2P_bestpractices-rockyshores,0.25,square meter,2019-11-13T00:00:00Z,07:15:00Z/09:15:00Z,2019,11,13,ROCKYSHORE,NA,ARGENTINA,ARG,PUERTO MADRYN,-42.8112,-64.9017,8,WGS84,LOW
